player_name,level,exp points,tile_id,date
s,1,1,3,2021-05-19 21:53:44.552107
s,1,1,3,2021-05-19 21:54:51.440607
theyaremonkeys,1,41,1,2021-05-19 21:56:47.883846
thatsaknockoff,3,301,74,2021-05-19 22:06:08.770215
p,1,61,14,2021-05-19 22:10:43.976302
lol2,2,211,49,2021-05-21 22:21:28.608308
